1,Michael Phelps,United States,Swimming,2000-2016,Summer,M,23,3,2,28
2,Larisa Latynina,Soviet Union,Gymnastics,1956–1964,Summer,F,9,5,4,18
3,Marit Bjørgen,Norway,Cross-country skiing,2002–2018,Winter,F,8,4,3,15
4,Nikolai Andrianov,Soviet Union,Gymnastics,1972–1980,Summer,M,7,5,3,
5,Ole Einar Bjørndalen,Norway,Biathlon,1998–2014,Winter,M,8,4,1,13
6,Boris Shakhlin,Soviet Union,Gymnastics,1956–1964,Summer,M,7,4,2,
7,Edoardo Mangiarotti,Italy,Fencing,1936–1960,Summer,M,6,5,2,
8,Takashi Ono,Japan,Gymnastics,1952–1964,Summer,M,5,4,4,
9,Paavo Nurmi,Finland,Athletics,1920–1928,Summer,M,9,3,0,12
10,Birgit Fischer,East Germany,Canoeing,1980–2004,Summer,F,8,4,0,
Bjørn Dæhlie,Norway,Cross-country skiing,1992–1998,Winter,M,8,4,0,,
12,Sawao Kato,Japan,Gymnastics,1968–1976,Summer,M,8,3,1,
Jenny Thompson,United States,Swimming,1992–2004,Summer,F,8,3,1,,
14,Ryan Lochte,United States,Swimming,2004–2016,Summer,M,6,3,3,
15,Dara Torres,United States,Swimming,1984–2008,Summer,F,4,4,4,
16,Alexei Nemov,Russia,Gymnastics,1996–2000,Summer,M,4,2,6,
17,Natalie Coughlin,United States,Swimming,2004–2012,Summer,F,3,4,5,
18,Mark Spitz,United States,Swimming,1968–1972,Summer,M,9,1,1,11
19,Matt Biondi,United States,Swimming,1984–1992,Summer,M,8,2,1,
20,Věra Čáslavská,Czechoslovakia,Gymnastics,1960–1968,Summer,F,7,4,0,
21,Viktor Chukarin,Soviet Union,Gymnastics,1952–1956,Summer,M,7,3,1,
22,Ireen Wüst,Netherlands,Speed skating,2006–2018,Winter,F,5,5,1,
23,Carl Osburn,United States,Shooting,1912–1924,Summer,M,5,4,2,
24,Carl Lewis,United States,Athletics,1984–1996,Summer,M,9,1,0,10
25,Aladár Gerevich,Hungary,Fencing,1932–1960,Summer,M,7,1,2,
26,Isabell Werth,Germany,Equestrian,1992–2016,Summer,F,6,4,0,
27,Akinori Nakayama,Japan,Gymnastics,1968–1972,Summer,M,6,2,2,
28,Vitaly Scherbo,Unified Team,Gymnastics,1992–1996,Summer,M,6,0,4,
29,Ágnes Keleti,Hungary,Gymnastics,1952–1956,Summer,F,5,3,2,
Gary Hall Jr.,United States,Swimming,1996–2004,Summer,M,5,3,2,,
31,Polina Astakhova,Soviet Union,Gymnastics,1956–1964,Summer,F,5,2,3,
32,Raisa Smetanina,Soviet Union,Cross-country skiing,1976–1992,Winter,F,4,5,1,
33,Alexander Dityatin,Soviet Union,Gymnastics,1976–1980,Summer,M,3,6,1,
34,Stefania Belmondo,Italy,Cross-country skiing,1992–2002,Winter,F,2,3,5,
