,rank,atlet,drzava,sport,leta,igre,spol,zlate,srebrne,bronaste
0,1,Michael Phelps,United States,Swimming,2000-2016,Summer,M,23,3,2
1,2,Larisa Latynina,Soviet Union,Gymnastics,1956–1964,Summer,F,9,5,4
2,3,Marit Bjørgen,Norway,Cross-country skiing,2002–2018,Winter,F,8,4,3
3,4,Nikolai Andrianov,Soviet Union,Gymnastics,1972–1980,Summer,M,7,5,3
4,5,Ole Einar Bjørndalen,Norway,Biathlon,1998–2014,Winter,M,8,4,1
5,6,Boris Shakhlin,Soviet Union,Gymnastics,1956–1964,Summer,M,7,4,2
6,7,Edoardo Mangiarotti,Italy,Fencing,1936–1960,Summer,M,6,5,2
7,8,Takashi Ono,Japan,Gymnastics,1952–1964,Summer,M,5,4,4
8,9,Paavo Nurmi,Finland,Athletics,1920–1928,Summer,M,9,3,0
9,10,Birgit Fischer,East Germany,Canoeing,1980–2004,Summer,F,8,4,0
10,10,Bjørn Dæhlie,Norway,Cross-country skiing,1992–1998,Winter,M,8,4,0
11,12,Sawao Kato,Japan,Gymnastics,1968–1976,Summer,M,8,3,1
12,12,Jenny Thompson,United States,Swimming,1992–2004,Summer,F,8,3,1
13,14,Ryan Lochte,United States,Swimming,2004–2016,Summer,M,6,3,3
14,15,Dara Torres,United States,Swimming,1984–2008,Summer,F,4,4,4
15,16,Alexei Nemov,Russia,Gymnastics,1996–2000,Summer,M,4,2,6
16,17,Natalie Coughlin,United States,Swimming,2004–2012,Summer,F,3,4,5
17,18,Mark Spitz,United States,Swimming,1968–1972,Summer,M,9,1,1
18,19,Matt Biondi,United States,Swimming,1984–1992,Summer,M,8,2,1
19,20,Věra Čáslavská,Czechoslovakia,Gymnastics,1960–1968,Summer,F,7,4,0
20,21,Viktor Chukarin,Soviet Union,Gymnastics,1952–1956,Summer,M,7,3,1
21,22,Ireen Wüst,Netherlands,Speed skating,2006–2018,Winter,F,5,5,1
22,23,Carl Osburn,United States,Shooting,1912–1924,Summer,M,5,4,2
23,24,Carl Lewis,United States,Athletics,1984–1996,Summer,M,9,1,0
24,25,Aladár Gerevich,Hungary,Fencing,1932–1960,Summer,M,7,1,2
25,26,Isabell Werth,Germany,Equestrian,1992–2016,Summer,F,6,4,0
26,27,Akinori Nakayama,Japan,Gymnastics,1968–1972,Summer,M,6,2,2
27,28,Vitaly Scherbo,Unified Team,Gymnastics,1992–1996,Summer,M,6,0,4
28,29,Ágnes Keleti,Hungary,Gymnastics,1952–1956,Summer,F,5,3,2
29,29,Gary Hall Jr.,United States,Swimming,1996–2004,Summer,M,5,3,2
30,31,Polina Astakhova,Soviet Union,Gymnastics,1956–1964,Summer,F,5,2,3
31,32,Raisa Smetanina,Soviet Union,Cross-country skiing,1976–1992,Winter,F,4,5,1
32,33,Alexander Dityatin,Soviet Union,Gymnastics,1976–1980,Summer,M,3,6,1
33,34,Stefania Belmondo,Italy,Cross-country skiing,1992–2002,Winter,F,2,3,5
34,35,Franziska van Almsick,Germany,Swimming,1992–2004,Summer,F,0,4,6
35,36,Hubert Van Innis,Belgium,Archery,1900–1920,Summer,M,6,3,0
36,36,Lyubov Yegorova,Unified Team,Cross-country skiing,1992–1994,Winter,F,6,3,0
37,36,Allyson Felix,United States,Athletics,2004–2016,Summer,F,6,3,0
38,39,Valentina Vezzali,Italy,Fencing,1996–2012,Summer,F,6,1,2
39,40,Nadia Comăneci,Romania,Gymnastics,1976–1980,Summer,F,5,3,1
40,40,Ian Thorpe,Australia,Swimming,2000–2004,Summer,M,5,3,1
41,42,Claudia Pechstein,Germany,Speed skating,1992–2006,Winter,F,5,2,2
42,43,Mitsuo Tsukahara,Japan,Gymnastics,1968–1976,Summer,M,5,1,3
43,44,Alexander Popov,Unified Team,Swimming,1992–2000,Summer,M,4,5,0
44,45,Sixten Jernberg,Sweden,Cross-country skiing,1956–1964,Winter,M,4,3,2
45,45,Ludmilla Tourischeva,Soviet Union,Gymnastics,1968–1976,Summer,F,4,3,2
46,47,Sven Kramer,Netherlands,Speed skating,2006–2018,Winter,M,4,2,3
47,48,Charlotte Kalla,Sweden,Cross-country skiing,2010–2018,Winter,F,3,6,0
48,49,Anky van Grunsven,Netherlands,Equestrian,1992–2012,Summer,F,3,5,1
49,49,Leisel Jones,Australia,Swimming,2000–2012,Summer,F,3,5,1
50,51,Giulio Gaudini,Italy,Fencing,1928–1936,Summer,M,3,4,2
51,52,Alfred Swahn,Sweden,Shooting,1908–1924,Summer,M,3,3,3
