Afghanistan,14,0,0,2,2,0,0,0,0,0,14,0,0,2,2
Algeria,13,5,4,8,17,3,0,0,0,0,16,5,4,8,17
Argentina,24,21,25,28,74,19,0,0,0,0,43,21,25,28,74
Armenia,6,2,6,6,14,7,0,0,0,0,13,2,6,6,14
Australasia,2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
Australia,26,147,163,187,497,19,5,5,5,15,45,152,168,192,512
Austria,27,18,33,36,87,23,64,81,87,232,50,82,114,123,319
Azerbaijan,6,7,11,24,42,6,0,0,0,0,12,7,11,24,42
Bahamas,16,6,2,6,14,0,0,0,0,0,16,6,2,6,14
Bahrain,9,2,1,0,3,0,0,0,0,0,9,2,1,0,3
Barbados,12,0,0,1,1,0,0,0,0,0,12,0,0,1,1
Belarus,6,12,27,39,78,7,8,5,5,18,13,20,32,44,96
Belgium,26,40,53,55,148,21,1,2,3,6,47,41,55,58,154
Bermuda,18,0,0,1,1,8,0,0,0,0,26,0,0,1,1
Bohemia,3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
Botswana,10,0,1,0,1,0,0,0,0,0,10,0,1,0,1
Brazil,22,30,36,63,129,8,0,0,0,0,30,30,36,63,129
British West Indies,1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
Bulgaria,20,51,87,80,218,20,1,2,3,6,40,52,89,83,224
Burundi,6,1,1,0,2,0,0,0,0,0,6,1,1,0,2
Cameroon,14,3,1,2,6,1,0,0,0,0,15,3,1,2,6
Canada,26,64,102,136,302,23,73,64,62,199,49,137,166,198,501
Chile,23,2,7,4,13,17,0,0,0,0,40,2,7,4,13
China,10,224,167,155,546,11,13,28,21,62,21,237,195,176,608
Colombia,19,5,9,14,28,2,0,0,0,0,21,5,9,14,28
Costa Rica,15,1,1,2,4,6,0,0,0,0,21,1,1,2,4
Ivory Coast,13,1,1,1,3,0,0,0,0,0,13,1,1,1,3
Croatia,7,11,10,12,33,8,4,6,1,11,15,15,16,13,44
Cuba,20,78,68,80,226,0,0,0,0,0,20,78,68,80,226
Cyprus,10,0,1,0,1,11,0,0,0,0,21,0,1,0,1
Czech Republic,6,15,17,24,56,7,9,11,11,31,13,24,28,35,87
Czechoslovakia,16,49,49,45,143,16,2,8,15,25,32,51,57,60,168
Denmark,27,45,74,75,194,14,0,1,0,1,41,45,75,75,195
Djibouti,8,0,0,1,1,0,0,0,0,0,8,0,0,1,1
Dominican Republic,14,3,2,2,7,0,0,0,0,0,14,3,2,2,7
Ecuador,14,1,1,0,2,1,0,0,0,0,15,1,1,0,2
Egypt,22,7,10,15,32,1,0,0,0,0,23,7,10,15,32
Eritrea,5,0,0,1,1,1,0,0,0,0,6,0,0,1,1
Estonia,12,9,9,16,34,10,4,2,1,7,22,13,11,17,41
Ethiopia,13,22,11,21,54,2,0,0,0,0,15,22,11,21,54
Fiji,14,1,0,0,1,3,0,0,0,0,17,1,0,0,1
Finland,25,101,85,117,303,23,43,63,61,167,48,144,148,178,470
France,28,212,241,263,716,23,36,35,53,124,51,248,276,316,840
Gabon,10,0,1,0,1,0,0,0,0,0,10,0,1,0,1
Georgia,6,8,7,17,32,7,0,0,0,0,13,8,7,17,32
Germany,16,191,194,230,615,12,92,88,60,240,28,283,282,290,855
United Team of Germany,3,28,54,36,118,3,8,6,5,19,6,36,60,41,137
East Germany,5,153,129,127,409,6,39,36,35,110,11,192,165,162,519
West Germany,5,56,67,81,204,6,11,15,13,39,11,67,82,94,243
Ghana,14,0,1,3,4,2,0,0,0,0,16,0,1,3,4
Great Britain,28,263,295,293,851,23,11,4,17,32,51,274,299,310,883
Greece,28,33,43,40,116,19,0,0,0,0,47,33,43,40,116
Grenada,9,1,1,0,2,0,0,0,0,0,9,1,1,0,2
Guatemala,14,0,1,0,1,1,0,0,0,0,15,0,1,0,1
